province,city,population_2020
福建省,福州市,8291268
福建省,厦门市,5163970
福建省,莆田市,3210714
福建省,三明市,2486450
福建省,泉州市,8782285
福建省,漳州市,5054328
福建省,南平市,2680645
福建省,龙岩市,2723637
福建省,宁德市,3146789
江西省,南昌市,6255007
江西省,景德镇市,1618979
江西省,萍乡市,1804805
江西省,九江市,4600276
江西省,新余市,1202499
江西省,鹰潭市,1154223
江西省,赣州市,8970014
江西省,吉安市,4469176
江西省,宜春市,5007702
江西省,抚州市,3614866
江西省,上饶市,6491088
山东省,济南市,9202432
山东省,青岛市,10071722
山东省,淄博市,4704138
山东省,枣庄市,3855601
山东省,东营市,2193518
山东省,烟台市,7102116
山东省,潍坊市,9386705
山东省,济宁市,8291977
山东省,泰安市,5472217
山东省,威海市,2906548
山东省,日照市,3085429
山东省,临沂市,11018365
山东省,德州市,5611194
山东省,聊城市,5952128
山东省,滨州市,3928568
山东省,菏泽市,8795939
河南省,郑州市,12600574
河南省,开封市,4824016
河南省,洛阳市,7056699
河南省,平顶山市,4987137
河南省,安阳市,5477232
河南省,鹤壁市,1565973
河南省,新乡市,6251929
河南省,焦作市,3521078
河南省,濮阳市,3772088
河南省,许昌市,4379998
河南省,漯河市,2367490
河南省,三门峡市,2276514
河南省,南阳市,9713112
河南省,商丘市,7816831
河南省,信阳市,6234401
河南省,周口市,9026015
河南省,驻马店市,6955854
河南省,济源示范区,727265
湖北省,武汉市,12326518
湖北省,黄石市,2469079
湖北省,十堰市,3209004
湖北省,宜昌市,4017614
湖北省,襄阳市,5260951
湖北省,鄂州市,1079353
湖北省,荆门市,2596927
湖北省,孝感市,4270371
湖北省,荆州市,5231180
湖北省,黄冈市,5882719
湖北省,咸宁市,2658316
湖北省,随州市,2047923
湖北省,恩施州,3456136
湖北省,仙桃市,1134741
湖北省,潜江市,886547
湖北省,天门市,1158640
湖北省,神农架林区,66570
湖南省,长沙市,10047914
湖南省,株洲市,3902738
湖南省,湘潭市,2726181
湖南省,衡阳市,6645243
湖南省,邵阳市,6563520
湖南省,岳阳市,5051922
湖南省,常德市,5279102
湖南省,张家界市,1517027
湖南省,益阳市,3851563
湖南省,郴州市,4667134
湖南省,永州市,5289824
湖南省,怀化市,4587594
湖南省,娄底市,3826996
湖南省,湘西州,2488105
广东省,广州市,18676605
广东省,深圳市,17560061
广东省,珠海市,2439585
广东省,汕头市,5502031
广东省,佛山市,9498863
广东省,韶关市,2855131
广东省,湛江市,6981236
广东省,肇庆市,4113594
广东省,江门市,4798090
广东省,茂名市,6174050
广东省,惠州市,6042852
广东省,梅州市,3873239
广东省,汕尾市,2672819
广东省,河源市,2837686
广东省,阳江市,2602959
广东省,清远市,3982785
广东省,东莞市,10466625
广东省,中山市,4418060
广东省,潮州市,2568387
广东省,揭阳市,5577812
广东省,云浮市,2383350
广西,南宁市,8741584
广西,柳州市,4157934
广西,桂林市,4931827
广西,梧州市,2820977
广西,北海市,1853228
广西,防城港市,1046068
广西,钦州市,3302238
广西,贵港市,4116542
广西,玉林市,5796766
广西,百色市,3571505
广西,贺州市,2007858
广西,河池市,3417945
广西,来宾市,2074611
广西,崇左市,2088692
海南省,海口市,2873358
海南省,三亚市,1031396
海南省,三沙市,2333
海南省,儋州市,954246
海南省,省直辖县级行政单位,1318634
重庆市,重庆市,32054159
四川省,成都市,20937757
四川省,自贡市,2489256
四川省,攀枝花市,1212203
四川省,泸州市,4254149
四川省,德阳市,3456161
四川省,绵阳市,4868243
四川省,广元市,2305657
四川省,遂宁市,2814283
四川省,内江市,3140678
四川省,乐山市,3160167
四川省,南充市,5607565
四川省,眉山市,2955219
四川省,宜宾市,4588804
四川省,广安市,3254883
四川省,达州市,5385422
四川省,雅安市,1434603
四川省,巴中市,2712894
四川省,资阳市,2308631
四川省,阿坝州,822587
四川省,甘孜州,1107431
四川省,凉山州,4858359
贵州省,贵阳市,5987018
贵州省,六盘水市,3031602
贵州省,遵义市,6606675
贵州省,安顺市,2470630
贵州省,毕节市,6899636
贵州省,铜仁市,3298468
贵州省,黔西南州,3015112
贵州省,黔东南州,3758622
贵州省,黔南州,3494385
云南省,昆明市,8460088
云南省,曲靖市,5765775
云南省,玉溪市,2249502
云南省,保山市,2431505
云南省,昭通市,5092611
云南省,丽江市,1253878
云南省,普洱市,2404954
云南省,临沧市,2257991
云南省,楚雄州,2416747
云南省,红河州,4478422
云南省,文山州,3503218
云南省,西双版纳州,1301797
云南省,大理州,3337559
云南省,德宏州,1315709
云南省,怒江州,552699
云南省,迪庆州,387511
西藏,拉萨市,867891
西藏,日喀则市,798153
西藏,昌都市,760990
西藏,林芝市,238936
西藏,山南市,354035
西藏,那曲市,504838
西藏,阿里地区,123281
陕西省,西安市,12952907
陕西省,铜川市,698322
陕西省,宝鸡市,3321758
陕西省,咸阳市,3959842
陕西省,渭南市,4619221
陕西省,延安市,2282581
陕西省,汉中市,3214968
陕西省,榆林市,3624750
陕西省,安康市,2493436
陕西省,商洛市,2041231
甘肃省,兰州市,4359446
甘肃省,嘉峪关市,312364
甘肃省,金昌市,438026
甘肃省,白银市,1512110
甘肃省,天水市,2984656
甘肃省,武威市,1464955
甘肃省,张掖市,1131014
甘肃省,平凉市,1848607
甘肃省,酒泉市,1055706
甘肃省,庆阳市,2179650
甘肃省,定西市,2524097
甘肃省,陇南市,2407272
甘肃省,临夏州,2109750
甘肃省,甘南州,691829
青海省,西宁市,2467965
青海省,海东市,1358478
青海省,海北州,265322
青海省,黄南州,276215
青海省,海南州,446996
青海省,果洛州,215573
青海省,玉树州,425199
青海省,海西州,468216
宁夏,银川市,2859074
宁夏,石嘴山市,751389
宁夏,吴忠市,1382713
宁夏,固原市,1142142
宁夏,中卫市,1067336
新疆,乌鲁木齐市,4054369
新疆,克拉玛依市,490348
新疆,吐鲁番市,693988
新疆,哈密市,673383
新疆,昌吉州,1613585
新疆,博尔塔拉州,487198
新疆,巴音郭楞州,1613979
新疆,阿克苏地区,2714422
新疆,克孜勒苏州,623054
新疆,喀什地区,4496377
新疆,和田地区,2504721
新疆,伊犁州,2848393
新疆,塔城地区,1138638
新疆,阿勒泰地区,668587
新疆,石河子市,717071
新疆,图木舒克市,241637
新疆,五家渠市,142701
新疆,北屯市,110060
新疆,铁门关市,239343
新疆,双河市,89200
新疆,可克达拉市,85483
新疆,昆玉市,192956
新疆,胡杨河市,71128
新疆,新星市,133971
